# SeoulMarkets — Korean Listed Workforce Panel — FULL CATEGORY SAMPLE
# Category: Electronics and telecom equipment (320 of 320 listed companies in this KSIC division)
# Source: FSS DART annual reports (empSttus/exctvSttus) parsed by us; market cap from KRX (data.go.kr), 2026-08-05.
# Figures as filed. Empty cell = not disclosed (not zero). Definitions in method.md. Corrections in corrections.csv.
# Not investment advice. https://seoulmarkets.com/rankings
company_en,ticker,industry,avg_tenure_years,tenure_gap_M_minus_F_years,avg_annual_pay_krw,female_to_male_pay_pct,employees,female_share_pct,ceo_tenure_months,market_cap_per_employee_krw
"GIGALANE Co., Ltd.",049080,Electronics and telecom equipment,7.12,-0.01,67854749,66.3,179,26.3,12.8,521155255
"VISSEM Electronics Co., Ltd.",072950,Electronics and telecom equipment,9.29,1.5,55262729,69.8,221,35.7,22.7,311537627
"Cellfie Global Co.,Ltd.",068940,Electronics and telecom equipment,6.15,2.5,53574190,76,105,18.1,1,340191362
"Amosense Co., Ltd.",357580,Electronics and telecom equipment,5.76,1,51238411,70.9,302,23.5,12.1,240479914
"HYUNDAI HT CO,LTD.",039010,Electronics and telecom equipment,6.66,-1.5,35347241,77.1,232,17.2,15,273620690
EXICURE HITRON INC.,019490,Electronics and telecom equipment,5.31,0.04,56750000,114.5,32,21.9,0.1,1292183065
"DB HiTek Co.,LTD",000990,Electronics and telecom equipment,10.29,0.9,93215218,58.3,2221,45.4,15.6,1762905412
"Dasan Solueta Co.,Ltd.",154040,Electronics and telecom equipment,5.2,0.7,57633481,83,108,14.8,4.3,196742116
INNO INSTRUMENT INC.,215790,Electronics and telecom equipment,2.15,1.33,36850000,50,40,32.5,,994993780
LG ELECTRONICS INC.,066570,Electronics and telecom equipment,13.76,2.7,117590675,77.9,34144,16.3,38,856308356
"Fidelix Co., Ltd.",032580,Electronics and telecom equipment,7.52,2.08,78160111,80.1,63,11.1,25.3,2356057884
"JangWonTech Co., Ltd.",174880,Electronics and telecom equipment,6.19,0.37,41448598,61.7,107,30.8,1.4,
"NEWFLEXTECHNOLGYCo.,LTD.",085670,Electronics and telecom equipment,7.38,2.36,45105634,61.7,142,14.1,25.8,530562254
"HANWHA SYSTEMS Co., Ltd.",272210,Electronics and telecom equipment,10.57,3.66,107586406,78,4855,16,1.3,2817253092
S&S TECH CORPORATION,101490,Electronics and telecom equipment,5.71,2.83,58890675,73.8,311,13.2,9.4,3028729607
"SAMJI ELECTRONICS CO., LTD.",037460,Electronics and telecom equipment,6.58,2.2,64338710,59.2,124,13.7,27.9,4711315223
"DOWOOINSYS Co., LTD.",484120,Electronics and telecom equipment,3.01,0.63,51755725,82.2,393,40.7,1.3,497684434
"Y2 Solution CO.,LTD",011690,Electronics and telecom equipment,5.59,1.47,75042105,67,95,23.2,4.8,1302040082
"RFTECH CO., LTD",061040,Electronics and telecom equipment,8.73,-0.5,56533333,56.3,240,26.7,6.9,248826133
"DAIDONG ELECTRONICS.,LTD",008110,Electronics and telecom equipment,11.16,6,58727651,59.7,43,14,28,
"THE MIDONG Co,. Ltd",161570,Electronics and telecom equipment,7.08,-1.7,66293000,55.7,5,40,,
"QUALITAS SEMICONDUCTOR CO., LTD.",432720,Electronics and telecom equipment,3.29,0.5,83654085,68.9,164,22.6,8.9,738791859
"S&KPOLYTECCO.,LTD.",091340,Electronics and telecom equipment,13.94,-2.08,49981652,82.8,23,13,5.9,1025347731
Iron Device Corp.,464500,Electronics and telecom equipment,3.81,-1.58,74239130,88.2,46,19.6,18.3,532352397
"Alphachips, Inc.",117670,Electronics and telecom equipment,6.42,1.9,61270800,65.9,115,20,,549738535
MiCo Ltd.,059090,Electronics and telecom equipment,4.39,1.37,56859903,71,207,25.6,,2634598150
Melfas Inc.,096640,Electronics and telecom equipment,2.13,0.83,41270270,46.9,37,29.7,3.8,
"ALT Co.,Ltd.",172670,Electronics and telecom equipment,4.85,-1.1,55497326,74.2,187,40.6,22.8,525636584
CoAsia Corporation,045970,Electronics and telecom equipment,6.56,-0.34,58263158,80.8,114,36.8,10.3,626709547
"Pharmicell Co.,Ltd.",005690,Electronics and telecom equipment,5.34,1.09,71661290,61.1,186,22.6,17,3684117419
"THE CODI Co., LTD.",224060,Electronics and telecom equipment,7.89,-3.71,43170920,68.6,33,39.4,6.8,540311955
Linked Inc.,193250,Electronics and telecom equipment,4.92,1.01,48809529,57.8,34,17.6,10.4,624801016
"LG Display Co., Ltd.",034220,Electronics and telecom equipment,14.93,2.6,85864347,75.3,24430,14.3,2.7,200573066
LIGHTRON FIBER-OPTIC DEVICES INC.,069540,Electronics and telecom equipment,11.69,-1.83,68666667,70.3,66,24.2,1.1,4934539126
"KESPION Co., Ltd.",079190,Electronics and telecom equipment,8.95,1.72,51880220,73.1,41,19.5,5.8,248609203
"IL ROBOTICS CO., LTD.",403810,Electronics and telecom equipment,2,1.2,58333333,46.9,6,16.7,0.3,3892127183
"CNPLUS Co., Ltd.",115530,Electronics and telecom equipment,4.55,-3.18,45403509,74.3,57,21.1,,352722308
"LIG Accuver Co.,Ltd.",073490,Electronics and telecom equipment,6.69,1.91,67174888,80,446,20.2,,545567426
"KH Mirae Corporation Co., Ltd.",111870,Electronics and telecom equipment,3.04,,34145364,83.2,11,9.1,2.4,
"DASAN Networks, Inc.",039560,Electronics and telecom equipment,7.02,-0.3,44305697,59.8,182,39.6,34.9,596196835
"SYNIC SOLUTION CO., LTD.",234030,Electronics and telecom equipment,5.81,0.08,84622222,68.8,45,28.9,19.9,1673332222
KMW CO. LTD.,032500,Electronics and telecom equipment,14.82,5.38,50434783,82.7,69,17.4,35.6,10450089422
Coset Inc.,189350,Electronics and telecom equipment,9.75,5,35115385,61.2,78,73.1,20.3,114338462
"HANYANG DIGITECH CO.,LTD.",078350,Electronics and telecom equipment,5.87,1.7,60000000,100,81,13.6,,3876966286
"Mdevice Co., Ltd",226590,Electronics and telecom equipment,1.21,-0.62,31038462,108.9,26,26.9,17,4867893040
"HFR, Inc.",230240,Electronics and telecom equipment,7.91,3.4,58505814,57.8,172,20.3,26.2,1245784302
"ILJIN DISPLAY CO.,LTD.",020760,Electronics and telecom equipment,6.41,-1.85,54428571,68.4,42,14.3,1.9,1321511201
Jeju Semiconductor Corp.,080220,Electronics and telecom equipment,8.62,-0.9,93115108,69.1,139,12.9,26.3,18708157493
"HanWool Materials Science, Inc.",091440,Electronics and telecom equipment,2.77,0.33,50040558,90.7,52,17.3,0.9,1881393195
WINPAC INC.,097800,Electronics and telecom equipment,4.25,0,47908861,86,395,29.9,2.1,119454400
"MICRO2NANO, INC.",424980,Electronics and telecom equipment,7.35,4.25,47719910,62.7,134,13.4,25.3,300361582
"FOCUS AI Co., Ltd.",331380,Electronics and telecom equipment,4.53,1.33,55068966,63.3,116,22.4,11.8,680788539
"SAMSUNG ELECTRONICS CO,.LTD",005930,Electronics and telecom equipment,13.73,1,157064509,77.8,128881,26.9,3.8,11159011317
"DUK SAN NEOLUX CO.,LTD",213420,Electronics and telecom equipment,4.47,0.6,58071429,85,294,21.4,11.7,2677375423
"N CITRON, INC.",101400,Electronics and telecom equipment,6.54,-1.6,67600000,61.3,10,40,5.1,2140527952
"RF Materials Co., Ltd.",327260,Electronics and telecom equipment,5.47,-0.58,50725539,76.3,89,38.2,18,3411076475
"ISUPETASYS CO.,LTD",007660,Electronics and telecom equipment,12.45,3.25,98486980,89.2,1368,6.9,22.9,4545146820
"NC& Co., Ltd.",092600,Electronics and telecom equipment,5.25,2.4,66200000,70.4,140,22.9,20,68728831
"Zinitix Co.,Ltd.",303030,Electronics and telecom equipment,7.12,-0.2,70583333,60.3,84,8.3,0.3,204953034
"WELKEEPS HITECH CO.,LTD",043590,Electronics and telecom equipment,4.67,5.5,69470667,105.6,3,33.3,,5192167129
"EV ADVANCED MATERIAL CO., LTD.",131400,Electronics and telecom equipment,9.75,4.48,51827183,63.9,126,18.3,6.6,328701254
"SOLUM CO., LTD.",248070,Electronics and telecom equipment,5.11,0.26,71071429,69.7,504,21.4,10.3,1402230095
"COMMAX Co., Ltd.",036690,Electronics and telecom equipment,11.54,4,62000000,60,130,11.5,17,966862367
"LiComm Co., Ltd.",388790,Electronics and telecom equipment,7.7,3.7,41626866,61.7,67,29.9,26.4,1896250209
NEPES Corporation,033640,Electronics and telecom equipment,5.48,3.5,55395520,70.1,1200,43.2,35.7,320907228
MERCURY CORPORATION,100590,Electronics and telecom equipment,14.98,10.18,77718519,56.5,135,12.6,40.9,452610948
"iA, Inc.",038880,Electronics and telecom equipment,2.06,0.56,31181818,56.8,22,36.4,0.8,1253542382
"UNION biometrics Co., Ltd.",203450,Electronics and telecom equipment,6.3,3.75,49165046,66.6,151,18.5,25.8,229366604
"JOONGANG ADVANCED MATERIALS Co., Ltd",051980,Electronics and telecom equipment,6.62,0.97,51622537,76,108,10.2,5.8,1027598308
LDTInc.,096870,Electronics and telecom equipment,7.18,1.85,49566581,61.6,62,16.1,18.3,305644480
"EM-Tech.CO.,LTD.",091120,Electronics and telecom equipment,6.99,-0.37,57186275,74.3,306,9.8,25,235157945
"COTS Technology Co., Ltd.",448710,Electronics and telecom equipment,3.54,3.1,56605398,57.1,221,14.9,26.6,270243437
"ENTERMEDIA CO., LTD",068420,Electronics and telecom equipment,6.17,2.25,68333333,44,6,33.3,6,
"SFA Semicon Co., Ltd",036540,Electronics and telecom equipment,8.18,0.3,57857877,79.4,584,39.6,0.8,1475636965
"FRTEKCO.,LTD.",073540,Electronics and telecom equipment,4.34,2.3,68375848,121.4,33,24.2,25.3,829090909
"SEMCNS Co., Ltd.",252990,Electronics and telecom equipment,2.82,0.52,53664495,80.4,307,30.6,1.9,2608788025
"DREAMTECH CO.,LTD.",192650,Electronics and telecom equipment,5.53,0.4,56187279,53.9,401,43.4,12.1,751701353
"SENSORVIEW CO., LTD.",321370,Electronics and telecom equipment,3.39,0.59,47988237,57.5,97,24.7,11.2,730232847
"DOOSAN CO.,LTD",000150,Electronics and telecom equipment,13.66,5.24,134630646,61.5,1749,19.1,34.2,11666227616
3ALogics. Inc.,177900,Electronics and telecom equipment,6.46,0.57,58729167,83.8,48,22.9,21.9,822357500
"LUMENS CO., LTD.",038060,Electronics and telecom equipment,8.43,2.4,65304348,65.7,92,19.6,1.6,522336586
"LB SEMICON, INC.",061970,Electronics and telecom equipment,4.71,0.28,54583317,77.4,1513,34.5,6.2,157971956
"BLUECOM CO.,LTD",033560,Electronics and telecom equipment,12.01,9.56,47107333,57.5,12,33.3,,7509750000
"Hustory Co., Ltd.",046400,Electronics and telecom equipment,6.79,2.82,50208231,59.8,13,15.4,,
"Elentec Co., Ltd",054210,Electronics and telecom equipment,6.39,1.6,59048825,76.9,412,19.4,44.5,475130984
"CMTX Co.,Ltd.",388210,Electronics and telecom equipment,1.8,-0.25,57141264,83.1,269,18.6,12.9,2835318223
"Kwangmu Co.,Ltd.",029480,Electronics and telecom equipment,7.21,2.53,72990999,69.8,24,4.2,1.4,3538358571
ESTec Corporation,069510,Electronics and telecom equipment,14.47,-4.78,82627566,89.3,341,15.2,0.1,399606745
"FutureCore Co.,Ltd.",151910,Electronics and telecom equipment,6.41,-0.34,50835646,70.5,55,23.6,0.2,
"INTOPS CO., LTD.",049070,Electronics and telecom equipment,9.97,3.66,55841216,62.5,296,22,19.9,1056849774
"ATEC MOBILITY Co., Ltd",224110,Electronics and telecom equipment,3.51,0.9,47004115,72,243,21.4,11,188789653
"ELCOMTEC CO.,LTD",037950,Electronics and telecom equipment,5,-1.54,56494800,86.8,40,15,,1178042834
"MUGUNGHWA INFORMATION TECHNOLOGY CO., LTD.",038340,Electronics and telecom equipment,3.5,2,73706253,49.9,12,25,4.8,
"TIDE Co., Ltd.",346010,Electronics and telecom equipment,6.53,1.33,61851852,57.6,27,14.8,,180002296
"UJU ELECTRONICS CO., LTD",065680,Electronics and telecom equipment,9.76,-0.36,63377358,78.5,371,11.6,32.3,585312853
OptiCore Inc.,380540,Electronics and telecom equipment,2.91,-0.33,72455601,62.9,38,23.7,1.4,5438371746
"PHOTON CO., LTD",208710,Electronics and telecom equipment,3.27,-1.16,62797515,64.5,33,30.3,2.9,1052413570
H&SHigh Tech Corp.,044990,Electronics and telecom equipment,5.48,1.69,58414894,74.7,188,23.9,20.8,493829436
"RYUK-IL C&S., Ltd.",191410,Electronics and telecom equipment,8.28,2,77493320,52.9,25,36,19.3,628334620
"DHAUTOWARE Co., LTD",025440,Electronics and telecom equipment,4.66,0.9,71978852,73.3,331,15.1,,101836323
"KOREA ADVANCED MATERIALS Co.,Ltd.",062970,Electronics and telecom equipment,8.52,4.51,41187947,48.9,38,15.8,1.3,1745709723
"ABKO CO., LTD.",129890,Electronics and telecom equipment,3,0,36135593,86.8,59,37.3,,720238079
"M2N Co.,Ltd",033310,Electronics and telecom equipment,8.39,3.63,53541692,63.9,208,53.4,28.6,254247881
DongilTechnology,032960,Electronics and telecom equipment,14.28,-5,60076923,59.7,117,25.6,39,301486452
"KH FEELUX Co.,Ltd.",033180,Electronics and telecom equipment,8.7,0.96,55714136,68.8,125,24,6.8,
"ABOV Semiconductor Co.,Ltd.",102120,Electronics and telecom equipment,7.52,1.4,103373200,63.7,215,20,19.9,607853649
ATLAS LINK Inc.,297570,Electronics and telecom equipment,5.23,-0.3,90958784,62.8,37,10.8,10.9,771959591
"PRO2000 CO.,LTD.",321260,Electronics and telecom equipment,4,0,39899083,87.8,109,22,19.8,440468982
HUNEED TECHNOLOGIES,005870,Electronics and telecom equipment,8.56,-1.05,68738081,67.4,310,15.2,23.6,198534921
"HLB innoVation Co.,Ltd.",024850,Electronics and telecom equipment,11.55,7.6,67339738,76.9,61,9.8,,5673993928
"TOVISCo.,LTD",051360,Electronics and telecom equipment,5.44,3.5,62206186,46.8,485,36.1,,243924261
"RN2 Technologies Co., Ltd.",148250,Electronics and telecom equipment,5.75,-0.27,40141500,61,112,50,1,224941188
"Vidente Co., Ltd.",121800,Electronics and telecom equipment,8.63,0.17,57666667,46.3,54,25.9,3,4746469417
"IMCo.,LTD",101390,Electronics and telecom equipment,2.82,2.92,84454545,38.9,11,18.2,4.5,
"AGOS Co., Ltd.",175140,Electronics and telecom equipment,2.1,-1.22,57139517,49,29,41.4,1.8,2236381303
"RNT-X CO.,LTD.",123010,Electronics and telecom equipment,5.34,2.32,55261068,66.8,59,42.4,1.4,636975470
"IMAGIS Co., Ltd.",115610,Electronics and telecom equipment,6.43,,66764706,,34,,6.2,605190495
KEM Tech Corp.,106080,Electronics and telecom equipment,2.14,0.92,64932920,64.5,25,12,2.6,380279922
"JOOYONTECH CO.,LTD.",044380,Electronics and telecom equipment,10.37,3,50329070,82.5,43,20.9,,233933174
